2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,"=""""","=""""",3,4.27,Harper Perennial Modern Classics,Paperback,324,2006,1960,2015/09/21,2015/08/28,,,read,,,,1,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.80,Back Bay Books,Paperback,277,2001,1951,2015/10/25,2015/08/28,,,read,,,,1,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",Berliani M. Nugrahani,"=""1594480001""","=""9781594480003""",4,4.28,Riverhead Books,Paperback,371,2004,2003,2015/09/24,2015/08/30,,,read,,,,1,,,0,,,,,
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, B.M. Mooyaart-Doubleday","=""0553296981""","=""9780553296983""",3,4.13,Bantam,Mass Market Paperback,304,1993,1947,,2015/08/30,,,read,,,,1,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",4,4.36,Riverhead Books,Hardcover,372,2007,2007,2015/10/08,2015/09/24,,,read,,,,1,,,0,,,,,
16115612,And the Mountains Echoed,Khaled Hosseini,"Hosseini, Khaled",,"=""159463176X""","=""9781594631764""",4,4.05,Riverhead Books,Hardcover,404,2013,2012,2016/11/16,2015/09/24,,,read,,,,1,,,0,,,,,
344262,"Bloodfever (Fever, #2)",Karen Marie Moning,"Moning, Karen Marie",,"=""038533916X""","=""9780385339162""",4,4.29,Delacorte Press,Hardcover,303,2007,2007,2015/11/09,2015/10/27,,,read,,,,1,,,0,,,,,
2702704,"Faefever (Fever, #3)",Karen Marie Moning,"Moning, Karen Marie",,"=""0385341636""","=""9780385341639""",4,4.33,Delacorte Press,Hardcover,327,2008,2008,2015/11/19,2015/10/27,,,read,,,,1,,,0,,,,,
6050298,"Dreamfever (Fever, #4)",Karen Marie Moning,"Moning, Karen Marie",,"=""0385341652""","=""9780385341653""",4,4.42,Delacorte Press,Hardcover,386,2009,2009,2016/01/09,2015/10/27,,,read,,,,1,,,0,,,,,
7304203,"Shadowfever (Fever, #5)",Karen Marie Moning,"Moning, Karen Marie",,"=""0385341679""","=""9780385341677""",4,4.41,Delacorte Press,Hardcover,608,2011,2011,2016/01/31,2015/10/27,,,read,,,,1,,,0,,,,,
